date,luojia_cloud,bm_cloud
2018-09-18,99.0,99.6
2018-10-04,33.7,63.4
2018-10-16,1.6,100.0
2018-10-20,35.4,97.7
2018-10-21,99.8,96.0
2018-10-29,100.0,100.0
2018-11-02,1.0,98.1
2018-11-06,17.7,7.1
2018-11-07,0.2,4.7
2018-11-18,3.0,1.0
2018-11-19,0.0,1.6
2018-11-27,0.0,0.0
2018-12-12,4.0,1.2
2019-01-27,1.0,1.2
2019-02-08,0.0,0.0
2019-02-17,31.3,23.8
2019-03-01,0.0,3.2
2019-03-13,3.8,6.7
2019-03-27,56.1,0.6
