Date,Country,Count
2018-09-10,Tajikistan,9
2018-09-10,Uzbekistan,3
2018-09-15,China,59
2018-09-16,Oman,4
2018-09-17,Afghanistan,4
2018-09-17,India,18
2018-09-17,Kazakhstan,1
2018-09-17,Kyrgyzstan,4
2018-09-17,Pakistan,12
2018-09-17,Tajikistan,5
2018-09-17,Uzbekistan,6
2018-09-18,China,50
2018-09-18,Japan,22
2018-09-18,Mongolia,8
2018-09-18,Russian Federation,37
2018-09-19,Bhutan,1
2018-09-19,Canada,5
2018-09-19,China,58
2018-09-19,United States,25
2018-09-20,Australia,55
2018-09-20,China,44
2018-09-23,China,17
2018-09-23,Morocco,29
2018-09-23,Philippines,27
2018-09-23,Portugal,19
2018-09-23,Spain,11
2018-09-23,"Taiwan, Province of China",6
2018-09-24,China,37
2018-09-24,India,8
2018-09-24,Kyrgyzstan,5
2018-09-24,Nepal,9
2018-09-25,Mexico,15
2018-09-25,United States,43
2018-09-26,China,47
2018-09-26,"Taiwan, Province of China",7
2018-09-28,China,38
2018-09-28,Cyprus,2
2018-09-28,India,10
2018-09-28,Jordan,2
2018-09-28,Lebanon,1
2018-09-28,Nepal,7
2018-09-28,Syrian Arab Republic,3
2018-09-28,Türkiye,10
2018-09-28,Ukraine,9
2018-09-30,Indonesia,27
2018-09-30,Malaysia,20
2018-09-30,Thailand,2
2018-09-30,Viet Nam,3
2018-10-01,China,58
2018-10-02,China,55
2018-10-02,Japan,18
2018-10-02,Kazakhstan,1
2018-10-02,Nepal,3
2018-10-02,Russian Federation,22
2018-10-03,Cuba,2
2018-10-03,France,26
2018-10-03,Spain,7
2018-10-03,United Kingdom,26
2018-10-03,United States,57
2018-10-04,China,59
2018-10-05,China,59
2018-10-05,United States,59
2018-10-06,Australia,12
2018-10-06,China,54
2018-10-06,Indonesia,44
2018-10-06,Kazakhstan,4
2018-10-06,Nepal,1
2018-10-07,Bulgaria,1
2018-10-07,Poland,16
2018-10-07,Romania,15
2018-10-07,Russian Federation,6
2018-10-07,Sweden,16
2018-10-07,Ukraine,5
2018-10-08,China,59
2018-10-09,China,58
2018-10-09,India,1
2018-10-10,Belarus,15
2018-10-10,Estonia,6
2018-10-10,Finland,9
