Date,ISO_A3,Country,Count,Area_km2,CoverageFraction
2019-02-17,MMR,Myanmar,19,663159.44731143,1.99974659
2019-02-17,THA,Thailand,28,514453.47272728,3.79884220
2019-02-19,CHN,China,41,9375215.38301177,0.30524034
2019-02-19,IND,India,14,3150744.48103565,0.31013742
2019-02-19,NPL,Nepal,4,147105.82005225,1.89788311
2019-02-20,KHM,Cambodia,5,181059.66369856,1.92746997
2019-02-20,CHN,China,15,9375215.38301177,0.11167329
2019-02-20,LAO,Lao People's Democratic Republic,12,228113.97375204,3.67171261
2019-02-20,THA,Thailand,8,514453.47272728,1.08538348
2019-02-20,VNM,Viet Nam,19,328891.93520732,4.03217806
2019-03-01,CHN,China,59,9375215.38301177,0.43924829
2019-03-03,CHN,China,58,9375215.38301177,0.43180341
2019-03-09,CHN,China,31,9375215.38301177,0.23079148
2019-03-09,MNG,Mongolia,3,1564663.96587071,0.13382569
2019-03-09,RUS,Russian Federation,15,16980189.53670734,0.06165780
2019-03-11,CHN,China,59,9375215.38301177,0.43924829
2019-03-13,CHN,China,55,9375215.38301177,0.40946875
2019-03-13,LAO,Lao People's Democratic Republic,1,228113.97375204,0.30597605
2019-03-13,VNM,Viet Nam,2,328891.93520732,0.42443980
2019-03-17,CHN,China,44,9375215.38301177,0.32757500
2019-03-17,RUS,Russian Federation,15,16980189.53670734,0.06165780
2019-03-27,BGD,Bangladesh,2,136903.70734661,1.01965702
2019-03-27,BTN,Bhutan,3,40421.32194733,5.18024222
2019-03-27,CHN,China,19,9375215.38301177,0.14145284
2019-03-27,IND,India,18,3150744.48103565,0.39874812
2019-03-27,MMR,Myanmar,17,663159.44731143,1.78924695
